continent,date,total_cases,new_cases,total_deaths,new_deaths,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,stringency_index,population_density,median_age,gdp_per_capita,population,month,year
Europe,2021-06-30,47354769.1,1351230.0,1095473.4,28459.0,442627909.3440233,278634595.90754217,170381350.3889703,127718.98571428572,126168449.0,49.42241860465117,636.4584468085106,42.07,33935.36919512195,745629155.0,6,2021
Europe,2021-07-31,49709357.96774194,3558135.0,1124233.677419355,30585.0,580642109.8816406,343442056.14841074,257414414.12832385,187425.87204301075,117178607.0,43.13952738184546,636.4584468085106,42.07,33935.36919512195,745629155.0,7,2021
Europe,2021-08-31,53522812.645161286,3774199.0,1159204.612903226,40222.0,696338402.9224559,389136445.19319206,330828514.34716225,684503.2555927943,79646557.0,41.31141785446361,636.4584468085106,42.07,33935.36919512195,745629155.0,8,2021
Europe,2021-09-30,57280098.6,3675862.0,1204526.6666666667,49809.0,780667343.4722074,414127252.54614955,377119021.47803015,3878028.2102222433,45894860.0,40.12025581395349,636.4584468085106,42.07,33935.36919512195,745629155.0,9,2021
Europe,2021-10-31,61584916.19354839,5557108.0,1266547.8387096773,79786.0,832738089.2037784,428181870.5677769,400607909.0055999,14639770.245802157,46295627.0,38.78005251312828,636.4584468085106,42.07,33935.36919512195,745629155.0,10,2021
Europe,2021-11-30,68932092.46666667,9073911.0,1368717.0,117538.0,904924230.827476,449515419.5421746,419072170.070417,45554486.04685111,83255714.0,40.27344186046512,636.4584468085106,42.07,33935.36919512195,745629155.0,11,2021
Europe,2021-12-31,80034945.90322581,14118440.0,1487112.4838709678,110913.0,1034439162.9396646,465181157.73590994,442600778.21614164,132200273.15653482,123252630.0,43.137741935483874,636.4584468085106,42.07,33935.36919512195,745629155.0,12,2021
Europe,2022-01-31,105956387.32258065,39049352.0,1583295.9032258065,90066.0,1162647249.3521354,485561654.59293085,465096331.6387649,221166443.6009347,80595056.0,42.49960990247562,636.4584468085106,42.07,33935.36919512195,745629155.0,1,2022
Europe,2022-02-28,144592253.75,29625194.0,1677288.1428571427,91848.0,1225482649.698865,494537525.443794,476174208.37672925,264219358.44720352,31877161.0,36.563945182724254,636.4584468085106,42.07,33935.36919512195,745629155.0,2,2022
Europe,2022-03-31,167866545.54838708,22582914.0,1756066.1290322582,65114.0,1216960522.7138124,482208431.59168583,467617850.2884791,277466096.60047674,13429736.0,27.020727681920476,636.4584468085106,42.07,33935.36919512195,745629155.0,3,2022
Europe,2022-04-30,186460347.4,12716028.0,1807252.8666666667,40472.0,1227228343.446018,480432553.11047274,467965761.5880724,284106852.0164993,11059421.0,20.88371317829457,636.4584468085106,42.07,33935.36919512195,745629155.0,4,2022
